"","industry","race_gender","employ_n","year"
"76","Wholesale and retail trade","TOTAL",585000,2020
"77","Wholesale and retail trade","TOTAL",3333000,2020
"78","Wholesale trade","TOTAL",519000,2020
"79","Wholesale trade","TOTAL",172000,2020
"80","Wholesale trade","TOTAL",10000,2020
"81","Wholesale trade","TOTAL",39000,2020
"82","Wholesale trade","TOTAL",1165000,2020
"83","Wholesale trade","TOTAL",445000,2020
"84","Wholesale trade","TOTAL",28000,2020
"85","Wholesale trade","TOTAL",24000,2020
"86","Wholesale trade","TOTAL",144000,2020
"87","Wholesale trade","TOTAL",130000,2020
"88","Wholesale trade","TOTAL",704000,2020
"89","Retail trade","TOTAL",1088000,2020
"90","Retail trade","TOTAL",1041000,2020
"91","Retail trade","TOTAL",58000,2020
"92","Retail trade","TOTAL",573000,2020
"93","Retail trade","TOTAL",7603000,2020
"94","Retail trade","TOTAL",1526000,2020
"95","Retail trade","TOTAL",17000,2020
"96","Retail trade","TOTAL",105000,2020
"97","Retail trade","TOTAL",513000,2020
"98","Retail trade","TOTAL",456000,2020
"99","Retail trade","TOTAL",2628000,2020
"100","Transportation and utilities","TOTAL",1012000,2020
"101","Transportation and utilities","TOTAL",402000,2020
"102","Transportation and utilities","TOTAL",47000,2020
"103","Transportation and utilities","TOTAL",1e+05,2020
"104","Transportation and utilities","TOTAL",150000,2020
"105","Transportation and utilities","TOTAL",1843000,2020
"106","Transportation and utilities","TOTAL",3000,2020
"107","Transportation and utilities","TOTAL",210000,2020
"108","Transportation and utilities","TOTAL",515000,2020
"109","Transportation and utilities","TOTAL",352000,2020
"110","Transportation and utilities","TOTAL",3917000,2020
"111","Information","TOTAL",651000,2020
"112","Information","TOTAL",1095000,2020
"113","Information","TOTAL",6000,2020
"114","Information","TOTAL",38000,2020
"115","Information","TOTAL",2e+05,2020
"116","Information","TOTAL",329000,2020
"117","Information","TOTAL",0,2020
"118","Information","TOTAL",12000,2020
"119","Information","TOTAL",219000,2020
"120","Information","TOTAL",23000,2020
"121","Information","TOTAL",23000,2020
"122","Financial activities","TOTAL",4729000,2020
"123","Financial activities","TOTAL",1081000,2020
"124","Financial activities","TOTAL",56000,2020
"125","Financial activities","TOTAL",222000,2020
"126","Financial activities","TOTAL",2283000,2020
"127","Financial activities","TOTAL",1932000,2020
"128","Financial activities","TOTAL",1000,2020
"129","Financial activities","TOTAL",48000,2020
"130","Financial activities","TOTAL",164000,2020
"131","Financial activities","TOTAL",45000,2020
"132","Financial activities","TOTAL",83000,2020
"133","Professional and business services","TOTAL",5064000,2020
"134","Professional and business services","TOTAL",6601000,2020
"135","Professional and business services","TOTAL",540000,2020
"136","Professional and business services","TOTAL",2757000,2020
"137","Professional and business services","TOTAL",583000,2020
"138","Professional and business services","TOTAL",2006000,2020
"139","Professional and business services","TOTAL",12000,2020
"140","Professional and business services","TOTAL",153000,2020
"141","Professional and business services","TOTAL",286000,2020
"142","Professional and business services","TOTAL",269000,2020
"143","Professional and business services","TOTAL",545000,2020
"144","Education and health services","TOTAL",3693000,2020
"145","Education and health services","TOTAL",19540000,2020
"146","Education and health services","TOTAL",179000,2020
"147","Education and health services","TOTAL",6495000,2020
"148","Education and health services","TOTAL",138000,2020
"149","Education and health services","TOTAL",3258000,2020
"150","Education and health services","TOTAL",5000,2020
"151","Education and health services","TOTAL",83000,2020
"152","Education and health services","TOTAL",197000,2020
"153","Education and health services","TOTAL",164000,2020
"154","Education and health services","TOTAL",352000,2020
"155","Leisure and hospitality","TOTAL",2009000,2020
"156","Leisure and hospitality","TOTAL",795000,2020
"157","Leisure and hospitality","TOTAL",149000,2020
"158","Leisure and hospitality","TOTAL",6482000,2020
"159","Leisure and hospitality","TOTAL",860000,2020
"160","Leisure and hospitality","TOTAL",604000,2020
"161","Leisure and hospitality","TOTAL",8000,2020
"162","Leisure and hospitality","TOTAL",35000,2020
"163","Leisure and hospitality","TOTAL",92000,2020
"164","Leisure and hospitality","TOTAL",106000,2020
"165","Leisure and hospitality","TOTAL",340000,2020
"166","Other services","TOTAL",763000,2020
"167","Other services","TOTAL",994000,2020
"168","Other services","TOTAL",19000,2020
"169","Other services","TOTAL",2406000,2020
"170","Other services","TOTAL",348000,2020
"171","Other services","TOTAL",540000,2020
"172","Other services","TOTAL",3000,2020
"173","Other services","TOTAL",24000,2020
"174","Other services","TOTAL",987000,2020
"175","Other services","TOTAL",380000,2020
"176","Other services","TOTAL",280000,2020
"177","Other services, except private households","TOTAL",755000,2020
"178","Other services, except private households","TOTAL",987000,2020
"179","Other services, except private households","TOTAL",19000,2020
"180","Other services, except private households","TOTAL",1795000,2020
"181","Other services, except private households","TOTAL",348000,2020
"182","Other services, except private households","TOTAL",531000,2020
"183","Other services, except private households","TOTAL",3000,2020
"184","Other services, except private households","TOTAL",24000,2020
"185","Other services, except private households","TOTAL",986000,2020
"186","Other services, except private households","TOTAL",370000,2020
"187","Other services, except private households","TOTAL",270000,2020
"188","Private households","TOTAL",9000,2020
"189","Private households","TOTAL",7000,2020
"190","Private households","TOTAL",0,2020
"191","Private households","TOTAL",611000,2020
"192","Private households","TOTAL",0,2020
"193","Private households","TOTAL",8000,2020
"194","Private households","TOTAL",0,2020
"195","Private households","TOTAL",0,2020
"196","Private households","TOTAL",0,2020
"197","Private households","TOTAL",10000,2020
"198","Private households","TOTAL",10000,2020
"199","Public administration","TOTAL",1451000,2020
"200","Public administration","TOTAL",2035000,2020
"201","Public administration","TOTAL",1897000,2020
"202","Public administration","TOTAL",395000,2020
"203","Public administration","TOTAL",39000,2020
"204","Public administration","TOTAL",1248000,2020
"205","Public administration","TOTAL",13000,2020
"206","Public administration","TOTAL",92000,2020
"207","Public administration","TOTAL",143000,2020
"208","Public administration","TOTAL",77000,2020
"209","Public administration","TOTAL",111000,2020
"210","Agriculture and related","Men",707000,2020
"211","Agriculture and related","Men",36000,2020
"212","Agriculture and related","Men",11000,2020
"213","Agriculture and related","Men",52000,2020
"214","Agriculture and related","Men",6000,2020
"215","Agriculture and related","Men",16000,2020
"216","Agriculture and related","Men",714000,2020
"217","Agriculture and related","Men",10000,2020
"218","Agriculture and related","Men",31000,2020
"219","Agriculture and related","Men",36000,2020
"220","Agriculture and related","Men",80000,2020
"221","Mining, quarrying, and oil and gas extraction","Men",104000,2020
"222","Mining, quarrying, and oil and gas extraction","Men",90000,2020
"223","Mining, quarrying, and oil and gas extraction","Men",1000,2020
"224","Mining, quarrying, and oil and gas extraction","Men",4000,2020
"225","Mining, quarrying, and oil and gas extraction","Men",9000,2020
"226","Mining, quarrying, and oil and gas extraction","Men",11000,2020
"227","Mining, quarrying, and oil and gas extraction","Men",0,2020
"228","Mining, quarrying, and oil and gas extraction","Men",2e+05,2020
"229","Mining, quarrying, and oil and gas extraction","Men",38000,2020
"230","Mining, quarrying, and oil and gas extraction","Men",56000,2020
"231","Mining, quarrying, and oil and gas extraction","Men",72000,2020
"232","Construction","Men",1894000,2020
"233","Construction","Men",256000,2020
"234","Construction","Men",10000,2020
"235","Construction","Men",32000,2020
"236","Construction","Men",112000,2020
"237","Construction","Men",101000,2020
"238","Construction","Men",6000,2020
"239","Construction","Men",6157000,2020
"240","Construction","Men",604000,2020
"241","Construction","Men",147000,2020
"242","Construction","Men",294000,2020
"243","Manufacturing","Men",1831000,2020
"244","Manufacturing","Men",1722000,2020
"245","Manufacturing","Men",26000,2020
"246","Manufacturing","Men",111000,2020
"247","Manufacturing","Men",402000,2020
"248","Manufacturing","Men",466000,2020
"249","Manufacturing","Men",15000,2020
"250","Manufacturing","Men",287000,2020
"251","Manufacturing","Men",607000,2020
"252","Manufacturing","Men",3857000,2020
"253","Manufacturing","Men",932000,2020
"254","Durable goods","Men",1197000,2020
"255","Durable goods","Men",1305000,2020
"256","Durable goods","Men",12000,2020
"257","Durable goods","Men",50000,2020
"258","Durable goods","Men",257000,2020
"259","Durable goods","Men",290000,2020
"260","Durable goods","Men",7000,2020
"261","Durable goods","Men",221000,2020
"262","Durable goods","Men",383000,2020
"263","Durable goods","Men",2562000,2020
"264","Durable goods","Men",530000,2020
"265","Nondurable goods","Men",634000,2020
"266","Nondurable goods","Men",417000,2020
"267","Nondurable goods","Men",13000,2020
"268","Nondurable goods","Men",61000,2020
"269","Nondurable goods","Men",145000,2020
"270","Nondurable goods","Men",176000,2020
"271","Nondurable goods","Men",8000,2020
"272","Nondurable goods","Men",66000,2020
"273","Nondurable goods","Men",224000,2020
"274","Nondurable goods","Men",1295000,2020
"275","Nondurable goods","Men",402000,2020
"276","Wholesale and retail trade","Men",940000,2020
"277","Wholesale and retail trade","Men",559000,2020
"278","Wholesale and retail trade","Men",49000,2020
"279","Wholesale and retail trade","Men",265000,2020
"280","Wholesale and retail trade","Men",4491000,2020
"281","Wholesale and retail trade","Men",680000,2020
"282","Wholesale and retail trade","Men",27000,2020
"283","Wholesale and retail trade","Men",124000,2020
"284","Wholesale and retail trade","Men",640000,2020
"285","Wholesale and retail trade","Men",373000,2020
"286","Wholesale and retail trade","Men",2488000,2020
"287","Wholesale trade","Men",340000,2020
"288","Wholesale trade","Men",106000,2020
"289","Wholesale trade","Men",7000,2020
"290","Wholesale trade","Men",28000,2020
"291","Wholesale trade","Men",855000,2020
"292","Wholesale trade","Men",159000,2020
"293","Wholesale trade","Men",16000,2020
"294","Wholesale trade","Men",24000,2020
"295","Wholesale trade","Men",140000,2020
"296","Wholesale trade","Men",86000,2020
"297","Wholesale trade","Men",597000,2020
"298","Retail trade","Men",6e+05,2020
"299","Retail trade","Men",453000,2020
"300","Retail trade","Men",42000,2020
"301","Retail trade","Men",237000,2020
"302","Retail trade","Men",3636000,2020
"303","Retail trade","Men",521000,2020
"304","Retail trade","Men",10000,2020
"305","Retail trade","Men",1e+05,2020
"306","Retail trade","Men",5e+05,2020
"307","Retail trade","Men",287000,2020
"308","Retail trade","Men",1891000,2020
"309","Transportation and utilities","Men",708000,2020
"310","Transportation and utilities","Men",303000,2020
"311","Transportation and utilities","Men",34000,2020
"312","Transportation and utilities","Men",62000,2020
"313","Transportation and utilities","Men",81000,2020
"314","Transportation and utilities","Men",1023000,2020
"315","Transportation and utilities","Men",2000,2020
"316","Transportation and utilities","Men",205000,2020
"317","Transportation and utilities","Men",502000,2020
"318","Transportation and utilities","Men",301000,2020
"319","Transportation and utilities","Men",3271000,2020
"320","Information","Men",361000,2020
"321","Information","Men",690000,2020
"322","Information","Men",3000,2020
"323","Information","Men",22000,2020
"324","Information","Men",118000,2020
"325","Information","Men",114000,2020
"326","Information","Men",0,2020
"327","Information","Men",12000,2020
"328","Information","Men",194000,2020
"329","Information","Men",15000,2020
"330","Information","Men",16000,2020
"331","Financial activities","Men",2454000,2020
"332","Financial activities","Men",621000,2020
"333","Financial activities","Men",36000,2020
"334","Financial activities","Men",146000,2020
"335","Financial activities","Men",1140000,2020
"336","Financial activities","Men",430000,2020
"337","Financial activities","Men",1000,2020
"338","Financial activities","Men",46000,2020
"339","Financial activities","Men",151000,2020
"340","Financial activities","Men",25000,2020
"341","Financial activities","Men",72000,2020
"342","Professional and business services","Men",2788000,2020
"343","Professional and business services","Men",4224000,2020
"344","Professional and business services","Men",394000,2020
"345","Professional and business services","Men",1728000,2020
"346","Professional and business services","Men",329000,2020
"347","Professional and business services","Men",509000,2020
"348","Professional and business services","Men",10000,2020
"349","Professional and business services","Men",142000,2020
"350","Professional and business services","Men",274000,2020
"351","Professional and business services","Men",181000,2020
"352","Professional and business services","Men",451000,2020
"353","Education and health services","Men",1187000,2020
"354","Education and health services","Men",5243000,2020
"355","Education and health services","Men",120000,2020
"356","Education and health services","Men",1236000,2020
"357","Education and health services","Men",33000,2020
"358","Education and health services","Men",340000,2020
"359","Education and health services","Men",4000,2020
"360","Education and health services","Men",75000,2020
"361","Education and health services","Men",181000,2020
"362","Education and health services","Men",65000,2020
"363","Education and health services","Men",187000,2020
"364","Leisure and hospitality","Men",1053000,2020
"365","Leisure and hospitality","Men",442000,2020
"366","Leisure and hospitality","Men",104000,2020
"367","Leisure and hospitality","Men",3209000,2020
"368","Leisure and hospitality","Men",268000,2020
"369","Leisure and hospitality","Men",166000,2020
"370","Leisure and hospitality","Men",7000,2020
"371","Leisure and hospitality","Men",34000,2020
"372","Leisure and hospitality","Men",87000,2020
"373","Leisure and hospitality","Men",54000,2020
"374","Leisure and hospitality","Men",271000,2020
"375","Other services","Men",321000,2020
"376","Other services","Men",553000,2020
"377","Other services","Men",16000,2020
"378","Other services","Men",476000,2020
"379","Other services","Men",260000,2020
"380","Other services","Men",91000,2020
"381","Other services","Men",0,2020
"382","Other services","Men",22000,2020
"383","Other services","Men",964000,2020
"384","Other services","Men",266000,2020
"385","Other services","Men",230000,2020
"386","Other services, except private households","Men",318000,2020
"387","Other services, except private households","Men",549000,2020
"388","Other services, except private households","Men",16000,2020
"389","Other services, except private households","Men",424000,2020
"390","Other services, except private households","Men",260000,2020
"391","Other services, except private households","Men",91000,2020
"392","Other services, except private households","Men",0,2020
"393","Other services, except private households","Men",22000,2020
"394","Other services, except private households","Men",963000,2020
"395","Other services, except private households","Men",261000,2020
"396","Other services, except private households","Men",221000,2020
"397","Private households","Men",3000,2020
"398","Private households","Men",4000,2020
"399","Private households","Men",0,2020
"400","Private households","Men",52000,2020
"401","Private households","Men",0,2020
"402","Private households","Men",0,2020
"403","Private households","Men",0,2020
"404","Private households","Men",0,2020
"405","Private households","Men",0,2020
"406","Private households","Men",5000,2020
"407","Private households","Men",8000,2020
"408","Public administration","Men",681000,2020
"409","Public administration","Men",968000,2020
"410","Public administration","Men",1506000,2020
"411","Public administration","Men",166000,2020
"412","Public administration","Men",13000,2020
"413","Public administration","Men",297000,2020
"414","Public administration","Men",8000,2020
"415","Public administration","Men",87000,2020
"416","Public administration","Men",140000,2020
"417","Public administration","Men",67000,2020
"418","Public administration","Men",87000,2020
"419","Agriculture and related","Women",253000,2020
"420","Agriculture and related","Women",22000,2020
"421","Agriculture and related","Women",2000,2020
"422","Agriculture and related","Women",42000,2020
"423","Agriculture and related","Women",6000,2020
"424","Agriculture and related","Women",79000,2020
"425","Agriculture and related","Women",217000,2020
"426","Agriculture and related","Women",0,2020
"427","Agriculture and related","Women",2000,2020
"428","Agriculture and related","Women",7000,2020
"429","Agriculture and related","Women",20000,2020
"430","Mining, quarrying, and oil and gas extraction","Women",43000,2020
"431","Mining, quarrying, and oil and gas extraction","Women",14000,2020
"432","Mining, quarrying, and oil and gas extraction","Women",0,2020
"433","Mining, quarrying, and oil and gas extraction","Women",2000,2020
"434","Mining, quarrying, and oil and gas extraction","Women",1000,2020
"435","Mining, quarrying, and oil and gas extraction","Women",28000,2020
"436","Mining, quarrying, and oil and gas extraction","Women",0,2020
"437","Mining, quarrying, and oil and gas extraction","Women",8000,2020
"438","Mining, quarrying, and oil and gas extraction","Women",1000,2020
"439","Mining, quarrying, and oil and gas extraction","Women",1000,2020
"440","Mining, quarrying, and oil and gas extraction","Women",2000,2020
"441","Construction","Women",316000,2020
"442","Construction","Women",82000,2020
"443","Construction","Women",4000,2020
"444","Construction","Women",14000,2020
"445","Construction","Women",32000,2020
"446","Construction","Women",444000,2020
"447","Construction","Women",0,2020
"448","Construction","Women",247000,2020
"449","Construction","Women",14000,2020
"450","Construction","Women",7000,2020
"451","Construction","Women",14000,2020
"452","Manufacturing","Women",1014000,2020
"453","Manufacturing","Women",525000,2020
"454","Manufacturing","Women",9000,2020
"455","Manufacturing","Women",66000,2020
"456","Manufacturing","Women",230000,2020
"457","Manufacturing","Women",682000,2020
"458","Manufacturing","Women",3000,2020
"459","Manufacturing","Women",14000,2020
"460","Manufacturing","Women",46000,2020
"461","Manufacturing","Women",1477000,2020
"462","Manufacturing","Women",230000,2020
"463","Durable goods","Women",570000,2020
"464","Durable goods","Women",315000,2020
"465","Durable goods","Women",5000,2020
"466","Durable goods","Women",29000,2020
"467","Durable goods","Women",87000,2020
"468","Durable goods","Women",406000,2020
"469","Durable goods","Women",0,2020
"470","Durable goods","Women",12000,2020
"471","Durable goods","Women",32000,2020
"472","Durable goods","Women",760000,2020
"473","Durable goods","Women",99000,2020
"474","Nondurable goods","Women",445000,2020
"475","Nondurable goods","Women",210000,2020
"476","Nondurable goods","Women",4000,2020
"477","Nondurable goods","Women",37000,2020
"478","Nondurable goods","Women",143000,2020
"479","Nondurable goods","Women",276000,2020
"480","Nondurable goods","Women",3000,2020
"481","Nondurable goods","Women",2000,2020
"482","Nondurable goods","Women",14000,2020
"483","Nondurable goods","Women",717000,2020
"484","Nondurable goods","Women",131000,2020
"485","Wholesale and retail trade","Women",668000,2020
"486","Wholesale and retail trade","Women",655000,2020
"487","Wholesale and retail trade","Women",20000,2020
"488","Wholesale and retail trade","Women",346000,2020
"489","Wholesale and retail trade","Women",4278000,2020
"490","Wholesale and retail trade","Women",1291000,2020
"491","Wholesale and retail trade","Women",18000,2020
"492","Wholesale and retail trade","Women",5000,2020
"493","Wholesale and retail trade","Women",17000,2020
"494","Wholesale and retail trade","Women",212000,2020
"495","Wholesale and retail trade","Women",845000,2020
"496","Wholesale trade","Women",179000,2020
"497","Wholesale trade","Women",67000,2020
"498","Wholesale trade","Women",3000,2020
"499","Wholesale trade","Women",10000,2020
"500","Wholesale trade","Women",310000,2020
"501","Wholesale trade","Women",286000,2020
"502","Wholesale trade","Women",11000,2020
"503","Wholesale trade","Women",0,2020
"504","Wholesale trade","Women",4000,2020
"505","Wholesale trade","Women",44000,2020
"506","Wholesale trade","Women",107000,2020
"507","Retail trade","Women",488000,2020
"508","Retail trade","Women",588000,2020
"509","Retail trade","Women",16000,2020
"510","Retail trade","Women",336000,2020
"511","Retail trade","Women",3968000,2020
"512","Retail trade","Women",1005000,2020
"513","Retail trade","Women",7000,2020
"514","Retail trade","Women",5000,2020
"515","Retail trade","Women",13000,2020
"516","Retail trade","Women",168000,2020
"517","Retail trade","Women",738000,2020
"518","Transportation and utilities","Women",304000,2020
"519","Transportation and utilities","Women",99000,2020
"520","Transportation and utilities","Women",13000,2020
"521","Transportation and utilities","Women",38000,2020
"522","Transportation and utilities","Women",69000,2020
"523","Transportation and utilities","Women",819000,2020
"524","Transportation and utilities","Women",1000,2020
"525","Transportation and utilities","Women",5000,2020
"526","Transportation and utilities","Women",13000,2020
"527","Transportation and utilities","Women",51000,2020
"528","Transportation and utilities","Women",646000,2020
"529","Information","Women",290000,2020
"530","Information","Women",405000,2020
"531","Information","Women",3000,2020
"532","Information","Women",15000,2020
"533","Information","Women",82000,2020
"534","Information","Women",215000,2020
"535","Information","Women",0,2020
"536","Information","Women",0,2020
"537","Information","Women",25000,2020
"538","Information","Women",8000,2020
"539","Information","Women",7000,2020
"540","Financial activities","Women",2276000,2020
"541","Financial activities","Women",460000,2020
"542","Financial activities","Women",20000,2020
"543","Financial activities","Women",77000,2020
"544","Financial activities","Women",1143000,2020
"545","Financial activities","Women",1502000,2020
"546","Financial activities","Women",0,2020
"547","Financial activities","Women",2000,2020
"548","Financial activities","Women",14000,2020
"549","Financial activities","Women",20000,2020
"550","Financial activities","Women",10000,2020
"551","Professional and business services","Women",2276000,2020
"552","Professional and business services","Women",2377000,2020
"553","Professional and business services","Women",146000,2020
"554","Professional and business services","Women",1029000,2020
"555","Professional and business services","Women",255000,2020
"556","Professional and business services","Women",1497000,2020
"557","Professional and business services","Women",2000,2020
"558","Professional and business services","Women",10000,2020
"559","Professional and business services","Women",13000,2020
"560","Professional and business services","Women",88000,2020
"561","Professional and business services","Women",94000,2020
"562","Education and health services","Women",2506000,2020
"563","Education and health services","Women",14297000,2020
"564","Education and health services","Women",58000,2020
"565","Education and health services","Women",5259000,2020
"566","Education and health services","Women",105000,2020
"567","Education and health services","Women",2918000,2020
"568","Education and health services","Women",1000,2020
"569","Education and health services","Women",8000,2020
"570","Education and health services","Women",16000,2020
"571","Education and health services","Women",99000,2020
"572","Education and health services","Women",165000,2020
"573","Leisure and hospitality","Women",957000,2020
"574","Leisure and hospitality","Women",353000,2020
"575","Leisure and hospitality","Women",46000,2020
"576","Leisure and hospitality","Women",3274000,2020
"577","Leisure and hospitality","Women",592000,2020
"578","Leisure and hospitality","Women",437000,2020
"579","Leisure and hospitality","Women",1000,2020
"580","Leisure and hospitality","Women",1000,2020
"581","Leisure and hospitality","Women",5000,2020
"582","Leisure and hospitality","Women",52000,2020
"583","Leisure and hospitality","Women",69000,2020
"584","Other services","Women",442000,2020
"585","Other services","Women",441000,2020
"586","Other services","Women",3000,2020
"587","Other services","Women",1930000,2020
"588","Other services","Women",88000,2020
"589","Other services","Women",449000,2020
"590","Other services","Women",3000,2020
"591","Other services","Women",2000,2020
"592","Other services","Women",23000,2020
"593","Other services","Women",114000,2020
"594","Other services","Women",50000,2020
"595","Other services, except private households","Women",437000,2020
"596","Other services, except private households","Women",438000,2020
"597","Other services, except private households","Women",3000,2020
"598","Other services, except private households","Women",1371000,2020
"599","Other services, except private households","Women",88000,2020
"600","Other services, except private households","Women",441000,2020
"601","Other services, except private households","Women",3000,2020
"602","Other services, except private households","Women",2000,2020
"603","Other services, except private households","Women",23000,2020
"604","Other services, except private households","Women",110000,2020
"605","Other services, except private households","Women",48000,2020
"606","Private households","Women",5000,2020
"607","Private households","Women",3000,2020
"608","Private households","Women",0,2020
"609","Private households","Women",559000,2020
"610","Private households","Women",0,2020
"611","Private households","Women",8000,2020
"612","Private households","Women",0,2020
"613","Private households","Women",0,2020
"614","Private households","Women",0,2020
"615","Private households","Women",4000,2020
"616","Private households","Women",2000,2020
"617","Public administration","Women",770000,2020
"618","Public administration","Women",1066000,2020
"619","Public administration","Women",391000,2020
"620","Public administration","Women",229000,2020
"621","Public administration","Women",26000,2020
"622","Public administration","Women",951000,2020
"623","Public administration","Women",5000,2020
"624","Public administration","Women",5000,2020
"625","Public administration","Women",3000,2020
"626","Public administration","Women",10000,2020
"627","Public administration","Women",24000,2020
"628","Agriculture and related","TOTAL",1008000,2019
"629","Agriculture and related","TOTAL",42000,2019
"630","Agriculture and related","TOTAL",15000,2019
"631","Agriculture and related","TOTAL",98000,2019
"632","Agriculture and related","TOTAL",17000,2019
"633","Agriculture and related","TOTAL",81000,2019
"634","Agriculture and related","TOTAL",993000,2019
"635","Agriculture and related","TOTAL",12000,2019
"636","Agriculture and related","TOTAL",26000,2019
"637","Agriculture and related","TOTAL",38000,2019
"638","Agriculture and related","TOTAL",93000,2019
"639","Mining, quarrying, and oil and gas extraction","TOTAL",155000,2019
"640","Mining, quarrying, and oil and gas extraction","TOTAL",127000,2019
"641","Mining, quarrying, and oil and gas extraction","TOTAL",2000,2019
"642","Mining, quarrying, and oil and gas extraction","TOTAL",5000,2019
"643","Mining, quarrying, and oil and gas extraction","TOTAL",11000,2019
"644","Mining, quarrying, and oil and gas extraction","TOTAL",63000,2019
"645","Mining, quarrying, and oil and gas extraction","TOTAL",0,2019
"646","Mining, quarrying, and oil and gas extraction","TOTAL",212000,2019
"647","Mining, quarrying, and oil and gas extraction","TOTAL",53000,2019
"648","Mining, quarrying, and oil and gas extraction","TOTAL",40000,2019
"649","Mining, quarrying, and oil and gas extraction","TOTAL",81000,2019
"650","Construction","TOTAL",2311000,2019
"651","Construction","TOTAL",289000,2019
"652","Construction","TOTAL",24000,2019
"653","Construction","TOTAL",37000,2019
"654","Construction","TOTAL",118000,2019
"655","Construction","TOTAL",529000,2019
"656","Construction","TOTAL",4000,2019
"657","Construction","TOTAL",7044000,2019
"658","Construction","TOTAL",589000,2019
"659","Construction","TOTAL",160000,2019
"660","Construction","TOTAL",267000,2019
"661","Manufacturing","TOTAL",2851000,2019
"662","Manufacturing","TOTAL",2304000,2019
"663","Manufacturing","TOTAL",30000,2019
"664","Manufacturing","TOTAL",232000,2019
"665","Manufacturing","TOTAL",608000,2019
"666","Manufacturing","TOTAL",1275000,2019
"667","Manufacturing","TOTAL",50000,2019
"668","Manufacturing","TOTAL",3e+05,2019
"669","Manufacturing","TOTAL",706000,2019
"670","Manufacturing","TOTAL",6150000,2019
"671","Manufacturing","TOTAL",1235000,2019
"672","Durable goods","TOTAL",1757000,2019
"673","Durable goods","TOTAL",1665000,2019
